"yearID","playerID","teamID","AB","R","H","2B","3B","HR","SB","CS","BB","SO","TB","GIDP","HBP","SH","SF","IBB"
"2017","abadfe01","BOS","165","18","40","9","0","4","5","1","14","37","61","4","1","0","2","1"
"2017","adamsau02","WSN","19","4","4","1","0","0","0","0","8","10","5","0","1","0","1","0"
"2017","adlemti01","CIN","469","79","124","34","2","29","6","2","51","108","249","8","6","1","4","1"
"2017","alberan01","SEA","164","22","43","7","0","6","0","0","10","37","68","3","2","0","1","0"
"2017","alberma01","WSN","211","12","35","4","1","6","3","1","17","63","59","6","4","0","1","0"
"2017","albural01","KCR","36","4","7","0","0","0","0","0","6","9","7","1","0","0","0","0"
"2017","albural01","CHW","27","1","3","2","0","0","0","0","2","5","5","0","0","0","0","0"
"2017","alcanra01","OAK","92","21","22","7","0","5","0","0","12","12","44","2","3","0","1","1"
"2017","alcansa01","STL","33","6","9","1","0","2","0","0","6","10","16","2","0","0","0","0"
"2017","alcanvi01","DET","32","7","12","1","0","1","0","0","4","5","16","1","2","0","1","0"
"2017","alexasc02","KCR","252","23","62","9","1","3","3","0","28","59","82","13","0","1","2","0"
"2017","allenco01","CLE","258","24","57","8","1","9","6","1","21","92","94","1","2","1","0","0"
"2017","almonmi01","KCR","9","3","5","2","0","0","1","0","2","0","7","1","0","0","1","0"
"2017","altavda01","SEA","178","27","43","10","0","9","5","0","20","52","80","3","1","0","4","1"
"2017","alvarjo03","TBR","111","12","24","4","1","1","2","0","9","29","33","1","0","2","1","1"
"2017","alvarda01","TEX","65","8","19","3","0","1","2","0","14","17","25","2","1","0","2","0"
"2017","alvarhe01","PHI","56","7","14","3","1","2","0","0","11","6","25","2","0","0","0","1"
"2017","alvarjo02","LAA","190","23","50","8","1","7","1","0","12","45","81","5","0","1","0","5"
"2017","anderbr04","CHC","98","22","34","14","1","2","1","0","12","16","56","2","0","0","1","0"
"2017","anderbr04","TOR","129","19","39","9","0","3","5","1","9","22","57","5","0","0","2","0"
"2017","anderch01","MIL","514","47","113","27","2","14","11","4","41","133","186","11","7","5","2","1"
"2017","anderdr02","PHI","12","7","6","2","0","0","2","0","1","2","8","0","0","0","1","0"
"2017","anderty01","COL","327","48","88","22","2","16","6","1","26","81","162","8","2","5","2","0"
"2017","andrima01","TBR","341","48","90","22","0","16","5","2","28","76","160","6","4","0","1","1"
"2017","aokino01","HOU","3","3","1","1","0","0","0","0","2","0","2","0","0","0","1","0"
"2017","aquinja01","BAL","56","12","15","4","0","4","1","0","6","13","31","0","0","0","0","0"
"2017","aranovi01","PHI","38","2","6","1","1","0","1","0","4","13","9","0","0","0","0","0"
"2017","archech01","TBR","784","101","193","37","4","27","6","2","60","249","319","17","5","1","2","0"
"2017","armstsh01","CLE","97","12","23","3","0","5","1","0","10","20","41","1","1","0","0","0"
"2017","arrieja01","CHC","637","82","150","33","5","23","19","4","55","163","262","10","10","1","4","3"
"2017","arroybr01","CIN","294","59","94","27","1","23","1","2","19","45","192","3","2","5","2","2"
"2017","asheral01","BAL","232","36","61","11","1","10","5","0","23","47","104","7","7","1","2","2"
"2017","astinba01","CIN","31","6","9","1","1","2","0","1","7","2","18","1","2","0","1","0"
"2017","avilalu01","LAD","171","16","42","11","2","2","3","3","22","52","63","4","1","0","0","3"
"2017","axforjo01","OAK","87","16","27","4","0","3","2","0","17","21","40","1","2","1","2","0"
"2017","aybarer01","SDP","3","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"2017","baezpe01","LAD","249","24","56","13","4","9","2","1","29","64","104","1","2","0","0","2"
"2017","bailean01","LAA","13","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0"
"2017","baileho02","CIN","363","67","112","31","0","11","8","3","42","67","176","9","8","5","2","2"
"2017","bandaan01","ARI","102","17","26","9","3","1","0","0","10","25","44","2","3","0","0","1"
"2017","barbajo01","PIT","110","13","25","8","0","4","0","0","18","23","45","1","2","0","0","0"
"2017","barneda02","TOR","240","26","48","8","0","11","8","1","24","62","89","6","1","0","0","1"
"2017","barneja01","MIL","265","35","57","14","0","8","4","1","33","80","95","10","3","0","3","4"
"2017","barnema01","BOS","254","31","57","10","1","7","4","3","28","83","90","7","1","1","3","0"
"2017","barneto01","TEX","222","36","64","17","0","7","1","1","22","57","102","7","2","0","6","4"
"2017","barraky01","MIA","239","25","53","6","0","5","5","1","38","76","74","4","2","3","4","3"
"2017","barreja01","ARI","104","18","27","2","1","7","1","0","15","26","52","2","0","0","2","2"
"2017","bassan01","TEX","30","9","14","4","0","1","0","0","0","1","21","0","0","0","1","0"
"2017","bastaan01","PIT","43","15","16","3","0","5","3","0","9","8","34","0","0","0","0","0"
"2017","bauertr01","CLE","680","84","181","41","3","25","4","6","60","196","303","16","5","1","3","0"
"2017","baumabu01","SDP","62","5","11","2","0","4","1","1","7","21","25","2","3","0","0","2"
"2017","beatope01","PHI","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2017","beckch02","CHW","252","48","73","17","0","16","5","2","34","42","138","11","4","1","3","3"
"2017","bedroca01","LAA","171","26","41","8","2","5","3","2","17","53","68","3","0","1","1","1"
"2017","belisma01","MIN","220","31","48","10","1","7","4","1","22","54","81","7","2","2","1","6"
"2017","belivje01","TOR","60","14","17","4","0","4","0","0","6","17","33","1","1","1","2","1"
"2017","bellch02","DET","259","49","81","14","1","12","5","2","31","57","133","10","3","0","0","3"
"2017","benoijo01","PHI","155","19","32","8","1","5","2","1","16","43","57","2","0","0","0","1"
"2017","benoijo01","PIT","34","9","11","1","1","2","0","0","6","3","20","1","1","0","1","0"
"2017","bergmch01","SEA","207","31","61","5","1","12","2","1","15","33","104","10","3","4","1","1"
