"yearID","playerID","teamID","AB","R","H","2B","3B","HR","SB","CS","BB","SO","TB","GIDP","HBP","SH","SF","IBB"
"2016","abadfe01","MIN","123","11","27","6","0","2","2","0","14","29","39","6","0","0","1","2"
"2016","abadfe01","BOS","51","9","13","1","0","2","1","0","8","12","20","1","1","0","0","0"
"2016","achteaj01","LAA","146","13","43","9","0","7","1","1","12","14","73","7","1","0","1","1"
"2016","adamsau01","CLE","81","22","27","9","2","5","1","0","7","17","55","2","0","0","0","1"
"2016","adlemti01","CIN","255","32","64","11","2","13","4","1","20","47","118","8","5","6","1","1"
"2016","alberan01","MIN","79","16","27","7","1","5","0","2","6","16","51","3","0","0","0","0"
"2016","alberma01","CHW","209","44","67","16","2","10","3","2","19","30","117","4","3","3","2","1"
"2016","albural01","LAA","10","3","2","0","0","1","0","0","2","1","5","0","0","0","0","0"
"2016","alcanra01","OAK","93","18","31","6","0","9","2","0","4","14","64","2","4","0","2","0"
"2016","alexasc02","KCR","76","7","24","3","1","1","0","0","7","16","32","4","0","0","1","0"
"2016","allenco01","CLE","232","23","41","8","1","8","2","3","27","87","75","7","0","3","2","2"
"2016","altavda01","SEA","45","1","11","2","0","0","2","0","1","10","13","1","1","0","1","0"
"2016","alvarda01","ATL","55","5","11","0","0","3","1","0","5","28","20","1","1","0","0","2"
"2016","alvarda01","TEX","47","11","17","1","0","3","0","1","2","13","27","3","2","0","1","0"
"2016","alvarjo02","LAA","238","29","71","9","2","4","2","2","15","51","96","5","1","1","1","4"
"2016","amarial01","SDP","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","anderbr04","LAD","56","15","25","4","0","4","1","1","4","5","41","0","0","1","1","0"
"2016","anderch01","MIL","583","83","155","38","4","28","7","8","53","120","285","12","4","4","3","0"
"2016","anderco01","CLE","255","45","85","15","3","13","0","1","13","54","145","4","1","0","1","3"
"2016","anderty01","COL","437","50","119","22","4","12","7","2","28","99","185","13","3","6","3","2"
"2016","andrima01","TBR","494","64","131","26","0","17","16","1","25","109","208","13","1","0","6","1"
"2016","antoldu01","TOR","10","3","4","1","0","1","0","0","1","1","8","0","0","0","0","0"
"2016","aquinja01","BAL","8","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0"
