"yearID","playerID","teamID","AB","R","H","2B","3B","HR","SB","CS","BB","SO","TB","GIDP","HBP","SH","SF","IBB"
"2015","aardsda01","ATL","112","17","25","7","0","6","4","1","14","35","50","4","1","0","1","3"
"2015","abadfe01","OAK","179","23","45","6","2","11","0","3","19","45","88","1","1","3","3","3"
"2015","achteaj01","MIN","52","10","12","1","0","4","4","0","6","14","25","1","0","0","0","1"
"2015","adamsau01","CLE","134","15","37","10","2","2","1","0","13","23","57","3","0","2","0","0"
"2015","adcocna01","CIN","68","12","15","5","1","3","5","1","12","13","31","0","1","1","1","0"
"2015","affelje01","SFN","147","24","43","6","0","6","4","0","14","21","67","4","2","0","0","2"
"2015","alberan01","TOR","9","1","1","0","0","1","0","0","2","1","4","0","0","0","0","0"
"2015","alberma01","CHN","136","6","31","4","0","3","4","0","9","28","44","4","1","0","3","2"
"2015","albural01","DET","234","29","63","10","1","4","8","1","33","58","87","5","1","1","2","3"
"2015","alexasc02","KCA","21","3","5","0","0","0","0","0","3","3","5","2","1","0","0","0"
"2015","allenco01","CLE","256","26","56","16","0","2","4","1","25","99","78","5","2","1","2","2"
"2015","almonmi01","KCA","33","6","7","0","0","4","1","0","7","10","19","0","1","0","0","0"
"2015","alvarda01","NYA","15","5","5","0","0","2","0","0","1","2","11","0","2","1","0","0"
"2015","alvarhe01","MIA","90","18","28","6","0","1","2","0","7","9","37","1","0","4","1","1"
"2015","alvarjo02","LAA","254","29","58","11","1","5","0","0","23","59","86","7","5","0","1","4"
"2015","alvarrj01","OAK","85","23","27","6","0","7","0","0","13","23","54","0","0","0","2","1"
"2015","amarial01","SDN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","anderbr04","LAN","697","82","194","26","3","18","10","10","46","116","280","23","2","3","2","2"
"2015","anderch01","ARI","581","75","158","33","3","18","5","3","40","111","251","15","7","3","9","2"
"2015","anderco01","CLE","334","32","77","14","2","9","1","2","24","44","122","8","1","3","3","1"
"2015","andrima01","TBA","258","32","69","9","2","8","2","2","18","49","106","2","2","1","3","1"
"2015","araujel01","PHI","129","17","29","4","1","1","3","0","19","34","38","5","0","2","0","1"
"2015","archech01","TBA","795","85","175","31","0","19","7","8","66","252","263","10","3","2","2","0"
"2015","armstsh01","CLE","28","2","5","2","0","1","0","0","2","11","10","1","0","0","0","0"
"2015","arojo01","BOS","44","8","15","6","0","2","0","0","4","8","27","0","0","0","1","0"
"2015","arrieja01","CHA","811","52","150","32","4","10","27","6","48","236","220","15","6","4","1","2"
"2015","asheral01","PHI","124","30","42","10","1","8","1","1","10","16","78","0","1","2","1","0"
"2015","atchisc01","CLE","80","15","23","5","0","6","0","0","4","12","46","0","1","0","2","0"
"2015","aumonph01","PHI","16","6","5","2","0","2","0","0","7","3","13","1","0","0","0","0"
"2015","avilalu01","ATL","143","15","35","5","1","4","3","1","10","31","54","7","0","0","1","2"
"2015","avilalu01","LAN","58","9","13","2","0","2","1","0","5","18","21","1","1","1","1","0"
"2015","axelrdy01","CIN","50","13","11","1","0","5","1","0","8","12","27","0","0","1","0","2"
"2015","axforjo01","COL","216","27","56","8","0","4","8","2","32","62","76","3","0","0","2","4"
"2015","badenbu01","CIN","260","30","71","13","2","4","5","2","20","36","100","6","0","2","3","4"
"2015","baezpe01","LAN","190","22","47","16","1","4","1","1","11","60","77","2","1","3","3","1"
"2015","bailean01","NYN","34","8","9","1","0","2","1","0","5","6","16","0","0","0","2","1"
"2015","baileho02","CIN","47","7","16","4","0","3","1","0","4","3","29","3","0","0","0","2"
"2015","bakersc02","LAN","42","7","11","4","0","4","1","0","3","8","27","0","0","0","0","0"
"2015","balesco01","CIN","62","13","17","4","1","3","0","0","13","13","32","1","1","0","1","0"
"2015","balfogr01","TBA","15","3","3","1","0","1","0","0","4","0","7","0","1","0","1","0"
"2015","banuema01","ATL","106","17","30","6","0","4","5","2","12","19","48","2","3","0","0","0"
"2015","barnema01","BOS","180","28","56","10","0","9","7","1","15","39","93","4","2","2","0","0"
"2015","barraky01","MIA","78","8","12","5","0","1","3","2","18","30","20","1","0","0","2","2"
"2015","barreaa01","WAS","113","15","28","4","1","1","4","1","7","35","37","4","3","0","0","0"
"2015","barriyh01","MIL","22","0","3","1","0","0","0","0","0","7","4","0","0","0","0","0"
"2015","bassan01","TEX","245","33","66","17","4","5","2","1","20","45","106","7","1","3","3","1"
"2015","bassich01","OAK","320","36","78","18","2","5","7","4","30","64","115","12","9","1","1","0"
"2015","bastaan01","PIT","208","19","39","6","1","4","8","0","26","64","59","0","3","2","0","2"
