Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
42,baezsa01,24,DET,14.1,,9,66,54,12,12,3,0,2,1,0,9,10,0.222,0.348,0.389,0.737,0.233,21,1,2,0,1,1,1
43,baileho02,32,CIN,106.1,,20,494,451,82,141,28,3,23,7,2,33,75,0.313,0.36,0.541,0.901,0.331,244,4,2,5,3,9,8
44,bandaan01,24,TBR,14.2,,3,56,51,6,12,3,1,1,0,0,3,10,0.235,0.273,0.392,0.665,0.268,20,2,0,1,1,0,0
45,barbajo01,25,DET,6.2,,7,36,29,9,11,1,0,3,0,0,5,2,0.379,0.486,0.724,1.21,0.333,21,0,1,1,0,1,0
46,bardlu01,27,LAA,11.2,,8,53,45,7,10,0,0,4,0,0,5,13,0.222,0.34,0.489,0.829,0.214,22,0,3,0,0,1,0
47,barlosc01,25,KCR,15,,6,65,62,7,16,2,0,2,0,0,3,15,0.258,0.292,0.387,0.679,0.311,24,0,0,0,0,0,1
48,barneda02,28,TOR,41,,47,191,165,28,47,16,1,6,14,1,22,38,0.285,0.368,0.503,0.871,0.333,83,3,1,0,2,1,2
49,barneja01,28,MIL,48.2,,49,217,192,24,51,6,2,4,7,1,23,47,0.266,0.343,0.38,0.723,0.331,73,5,0,1,1,2,6
50,barnema01,28,BOS,61.2,,62,265,230,25,47,10,1,5,6,1,31,96,0.204,0.302,0.322,0.624,0.321,74,2,2,0,2,1,3
51,barneto01,34,TEX,26.1,,22,104,97,11,19,8,0,2,1,0,5,26,0.196,0.25,0.34,0.59,0.246,33,2,2,0,0,0,2
52,barraky01,28,MIA,55.2,,61,245,203,27,40,7,0,8,6,1,34,60,0.197,0.325,0.35,0.675,0.235,71,4,5,2,1,3,3
53,barreja01,26,ARI,7,,7,30,28,4,8,1,1,1,0,0,2,6,0.286,0.333,0.5,0.833,0.333,14,1,0,0,0,0,0
54,barrija01,21,LAA,129.1,,26,537,483,50,117,24,1,17,2,5,47,98,0.242,0.317,0.402,0.719,0.272,194,13,6,0,0,0,1
55,bashlty01,25,NYM,32,,24,135,119,16,26,6,0,6,6,1,12,25,0.218,0.306,0.42,0.726,0.227,50,1,3,1,0,0,1
56,bassan01,30,CHC,15.1,,16,62,59,6,18,2,0,1,2,0,3,14,0.305,0.339,0.39,0.729,0.386,23,2,0,0,0,0,0
57,bassich01,29,OAK,47.2,,11,204,181,21,40,5,0,4,3,2,19,41,0.221,0.309,0.315,0.624,0.265,57,1,4,0,0,0,4
58,bauertr01,27,CLE,175.1,,28,717,645,51,134,30,2,9,11,7,57,221,0.208,0.28,0.302,0.582,0.299,195,7,9,3,3,2,7
59,baumabu01,30,TOT,3.1,,4,27,19,13,9,3,0,1,1,0,7,4,0.474,0.615,0.789,1.405,0.571,15,0,0,1,0,2,1
60,baumabu01,30,SDP,0.1,,1,6,3,5,2,0,0,0,1,0,2,0,0.667,0.8,0.667,1.467,0.667,2,0,0,1,0,0,1
61,baumabu01,30,NYM,3,,3,21,16,8,7,3,0,1,0,0,5,4,0.438,0.571,0.813,1.384,0.545,13,0,0,0,0,2,0
62,bautige01,23,NYM,4.1,,5,25,18,6,8,4,0,2,0,0,5,3,0.444,0.52,1,1.52,0.4,18,0,0,0,2,0,0
63,beckch02,27,TOT,34,,20,148,126,17,34,8,0,8,2,4,20,21,0.27,0.372,0.524,0.895,0.265,66,2,1,0,1,0,1
64,beckch02,27,CHW,23.2,,14,102,89,11,24,7,0,5,0,2,11,16,0.27,0.353,0.517,0.87,0.275,46,1,1,0,1,0,1
65,beckch02,27,NYM,10.1,,6,46,37,6,10,1,0,3,2,2,9,5,0.27,0.413,0.541,0.954,0.241,20,1,0,0,0,0,0
66,bedroca01,26,LAA,64,,71,271,240,30,63,12,0,7,1,2,26,57,0.263,0.338,0.4,0.738,0.316,96,12,2,1,1,0,0
67,beedety01,25,SFG,7.2,,2,40,31,7,9,4,0,0,2,0,8,9,0.29,0.45,0.419,0.869,0.409,13,1,1,0,0,0,0
68,beeksja02,24,TOT,50.2,,14,223,194,31,52,13,1,6,0,0,24,42,0.268,0.356,0.438,0.794,0.313,85,8,3,1,1,0,2
69,beeksja02,24,BOS,6.1,,2,34,29,9,11,4,1,1,0,0,4,5,0.379,0.471,0.69,1.16,0.435,20,1,1,0,0,0,0
70,beeksja02,24,TBR,44.1,,12,189,165,22,41,9,0,5,0,0,20,37,0.248,0.335,0.394,0.729,0.29,65,7,2,1,1,0,2
71,belisma01,38,TOT,34.1,,33,162,146,32,49,13,0,6,3,0,11,25,0.336,0.391,0.548,0.939,0.371,80,3,3,1,1,1,1
72,belisma01,38,CLE,10.2,,8,44,41,6,9,3,0,1,1,0,1,4,0.22,0.273,0.366,0.639,0.222,15,0,2,0,0,0,0
73,belisma01,38,MIN,23.2,,25,118,105,26,40,10,0,5,2,0,10,21,0.381,0.436,0.619,1.055,0.438,65,3,1,1,1,1,1
74,belivje01,31,CLE,4.2,,9,26,20,6,7,1,0,2,0,0,5,2,0.35,0.5,0.7,1.2,0.313,14,1,1,0,0,0,0
75,bellch02,29,DET,7.1,,3,36,33,7,14,4,0,1,0,0,2,7,0.424,0.444,0.636,1.081,0.5,21,2,0,0,1,1,0
76,bergmch01,30,SEA,14,,3,57,52,9,12,3,0,4,0,0,3,7,0.231,0.268,0.519,0.787,0.19,27,1,0,1,1,0,1
77,berrijo01,24,MIN,192.1,,32,797,717,83,159,31,1,25,8,3,61,202,0.222,0.293,0.372,0.665,0.271,267,11,13,2,4,1,6
78,betande01,30,NYY,66.2,,66,272,237,22,44,6,0,7,13,2,26,115,0.186,0.279,0.3,0.578,0.319,71,3,5,3,1,2,0
79,bettich01,29,COL,120.1,,27,518,456,72,121,28,2,18,0,2,47,80,0.265,0.337,0.454,0.791,0.284,207,12,5,5,5,3,2
80,biagijo01,28,TOR,72,,50,328,297,50,96,17,1,14,10,4,24,53,0.323,0.384,0.529,0.913,0.355,157,11,6,0,1,0,3
81,bibenau01,33,TEX,45,,13,203,182,33,56,12,1,9,1,1,14,33,0.308,0.373,0.533,0.906,0.336,97,4,5,2,0,0,0
82,biddlje01,26,ATL,63.2,,60,266,229,26,50,9,0,6,2,2,31,67,0.218,0.318,0.336,0.654,0.28,77,8,3,2,1,5,5
83,biebesh01,23,CLE,114.2,,20,485,456,60,130,40,2,13,4,2,23,118,0.285,0.32,0.467,0.787,0.356,213,9,2,0,4,0,3
84,blachty01,27,SFG,118.2,,47,512,461,62,133,23,2,8,3,3,41,75,0.289,0.347,0.399,0.746,0.33,184,18,1,8,1,4,7
85,blackra01,28,SFG,23.1,,26,95,82,16,17,4,1,4,4,2,10,33,0.207,0.301,0.427,0.728,0.289,35,2,1,2,0,0,0
86,blackpa01,24,OAK,27.2,,6,119,109,23,33,8,1,2,3,2,6,19,0.303,0.345,0.45,0.794,0.344,49,2,2,0,2,0,0
87,blandal01,25,CIN,1,,1,4,4,0,1,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,0.5,1,0,0,0,0,0,0
88,bleicje01,31,OAK,0.1,,2,4,3,2,2,2,0,0,0,0,0,1,0.667,0.75,1.333,2.083,1,4,0,1,0,0,0,0
89,bleieri01,31,BAL,32.2,,31,133,126,7,36,6,2,0,1,0,4,15,0.286,0.308,0.365,0.673,0.319,46,5,1,0,2,1,1
90,blevije01,34,NYM,42.2,,64,188,160,24,36,9,0,6,4,3,22,41,0.225,0.335,0.394,0.729,0.263,63,1,5,0,1,1,1
91,borucry01,24,TOR,97.2,,17,415,375,48,96,18,5,7,16,3,33,67,0.256,0.318,0.387,0.705,0.294,145,12,2,3,2,3,7
92,bowmama01,27,STL,23,,22,109,94,16,29,5,1,4,0,0,11,26,0.309,0.383,0.511,0.894,0.385,48,2,1,2,1,3,1
93,boxbebr01,30,ARI,53.1,,60,235,199,30,44,7,1,9,5,0,32,71,0.221,0.33,0.402,0.732,0.292,80,4,1,2,1,4,2
94,boydma01,27,DET,170.1,,31,709,639,87,146,33,1,27,18,2,51,159,0.228,0.294,0.41,0.704,0.259,262,8,11,2,6,0,4
95,boyerbl01,36,KCR,21.2,,21,109,93,33,32,7,2,7,1,2,13,9,0.344,0.413,0.688,1.101,0.313,64,1,0,0,3,3,2
96,brachbr01,32,TOT,62.2,,69,289,258,32,72,15,1,5,8,1,28,60,0.279,0.351,0.403,0.754,0.345,104,4,1,1,1,2,7
97,brachbr01,32,BAL,39,,42,185,165,24,50,13,0,4,3,0,19,38,0.303,0.375,0.455,0.83,0.374,75,4,0,1,0,1,3
98,brachbr01,32,ATL,23.2,,27,104,93,8,22,2,1,1,5,1,9,22,0.237,0.308,0.312,0.62,0.296,29,0,1,0,1,1,4
99,brachsi01,25,ARI,31,,31,129,112,12,25,7,1,2,3,1,12,34,0.223,0.313,0.357,0.67,0.299,40,2,3,1,1,2,0
