yearID,Name,teamID,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
2017,diekmja01,TEX,10.2,,11,45,33,3,4,0,0,1,0,0,10,13,0.121,0.311,0.212,0.523,0.143,7,2,0,0,2,1,1
2017,doolise01,TOT,51.1,,53,197,184,18,34,5,0,5,3,0,10,62,0.185,0.223,0.293,0.517,0.242,54,3,0,0,3,1,2
2017,doolise01,OAK,21.1,,23,79,76,8,12,1,0,3,3,0,2,31,0.158,0.177,0.289,0.467,0.209,22,0,0,0,1,0,1
2017,doolise01,WSN,30,,30,118,108,10,22,4,0,2,0,0,8,31,0.204,0.254,0.296,0.551,0.26,32,3,0,0,2,1,1
2017,drakeol01,TOT,56,,64,251,223,31,63,10,5,6,1,1,25,62,0.283,0.355,0.453,0.808,0.368,101,3,0,3,0,2,0
2017,drakeol01,BAL,3.1,,3,18,15,3,6,0,1,0,0,1,3,3,0.4,0.5,0.533,1.033,0.5,8,0,0,0,0,0,0
2017,drakeol01,MIL,52.2,,61,233,208,28,57,10,4,6,1,0,22,59,0.274,0.343,0.447,0.791,0.357,93,3,0,3,0,2,0
2017,duensbr01,CHC,62.1,,68,257,236,19,58,9,1,6,4,1,18,61,0.246,0.305,0.369,0.673,0.308,87,6,2,1,0,1,1
2017,duffety01,MIN,71,,56,310,287,41,79,10,0,9,2,0,18,67,0.275,0.317,0.404,0.721,0.327,116,4,1,1,3,5,3
2017,duffyda01,KCR,146.1,,24,609,556,67,143,25,7,13,2,1,41,130,0.257,0.312,0.397,0.709,0.313,221,15,4,6,2,0,5
2017,dukeza01,STL,18.1,,27,74,66,8,13,2,0,3,1,1,6,12,0.197,0.284,0.364,0.647,0.196,24,1,2,0,0,2,0
2017,dullry01,OAK,42,,49,177,157,30,37,6,0,7,3,3,16,45,0.236,0.316,0.408,0.724,0.283,64,4,3,0,1,1,1
2017,dunnmi01,COL,50.1,,68,220,189,25,43,8,1,8,3,1,28,57,0.228,0.323,0.407,0.73,0.276,77,2,0,0,3,0,1
2017,dysonsa01,TOT,54.2,,55,260,226,41,67,10,3,8,9,4,30,34,0.296,0.386,0.473,0.86,0.321,107,4,3,1,0,7,3
2017,dysonsa01,TEX,16.2,,17,91,79,23,31,5,0,6,2,1,12,7,0.392,0.473,0.684,1.156,0.379,54,2,0,0,0,3,1
2017,dysonsa01,SFG,38,,38,169,147,18,36,5,3,2,7,3,18,27,0.245,0.339,0.361,0.7,0.288,53,2,3,1,0,4,2
2017,edginjo01,NYM,37,,46,166,143,16,39,9,0,3,0,1,18,27,0.273,0.373,0.399,0.772,0.319,57,5,5,0,0,1,1
2017,edwarca01,CHC,66.1,,73,262,217,22,29,3,0,6,5,0,38,94,0.134,0.273,0.23,0.503,0.195,50,5,4,1,1,2,0
2017,eflinza01,PHI,64.1,,11,280,256,45,79,14,0,16,1,1,12,35,0.309,0.345,0.551,0.896,0.3,141,7,5,2,5,0,0
2017,eickhje01,PHI,128,,24,576,506,74,142,35,0,16,15,4,53,118,0.281,0.349,0.445,0.794,0.331,225,6,5,3,9,4,7
2017,eliasro01,BOS,0.1,,1,2,1,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,,0,0,0,0,0,0,0
2017,ellinbr02,MIA,44.2,,42,219,178,39,48,14,0,7,2,2,35,48,0.27,0.406,0.466,0.873,0.333,83,3,6,0,0,0,1
2017,ennsdi01,MIN,4,,2,21,20,4,7,1,0,2,0,0,1,2,0.35,0.381,0.7,1.081,0.313,14,0,0,0,0,0,1
2017,eschja01,SDP,0,,1,2,0,0,0,0,0,0,0,0,2,0,,1,,,,0,0,0,0,0,0,0
2017,espinpa01,TOT,24,,12,109,95,17,23,7,0,7,0,0,10,20,0.242,0.333,0.537,0.87,0.235,51,1,3,1,0,0,2
2017,espinpa01,MIL,17.2,,6,82,70,13,17,4,0,5,0,0,8,13,0.243,0.346,0.514,0.86,0.231,36,1,3,1,0,0,2
